sigla,nome_pregao,isin,classe,price,change,changepct,setor,subsetor,segmento,codcvm,cnpj,razao_social,cnpj_adm,razao_social_adm,sigla4
CELP5,CELPA PNA,BRCELPACNPA1,AÇÃO,6.44,-0.16,-2.42,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18309,04.895.728/0001-80,CENTRAIS ELET DO PARA S.A. - CELPA,---,---,CELP
CELP6,CELPA PNB,BRCELPACNPB9,AÇÃO,6.40,0.03,0.47,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18309,04.895.728/0001-80,CENTRAIS ELET DO PARA S.A. - CELPA,---,---,CELP
CELP7,CELPA PNC,BRCELPACNPC7,AÇÃO,3.61,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18309,04.895.728/0001-80,CENTRAIS ELET DO PARA S.A. - CELPA,---,---,CELP
CEPE5,CELPE PNA,BRCEPEACNPA6,AÇÃO,17.50,0.61,3.59,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14362,10.835.932/0001-08,CIA ENERGETICA DE PERNAMBUCO - CELPE,---,---,CEPE
CEPE6,CELPE PNB,BRCEPEACNPB4,AÇÃO,19.50,0.67,3.54,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14362,10.835.932/0001-08,CIA ENERGETICA DE PERNAMBUCO - CELPE,---,---,CEPE
CESP3,CESP ON,BRCESPACNOR3,AÇÃO,22.42,-0.17,-0.75,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2577,60.933.603/0001-78,CESP - CIA ENERGETICA DE SAO PAULO,---,---,CESP
CESP5,CESP PNA,BRCESPACNPA6,AÇÃO,27.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2577,60.933.603/0001-78,CESP - CIA ENERGETICA DE SAO PAULO,---,---,CESP
CESP6,CESP PNB,BRCESPACNPB4,AÇÃO,26.68,0.09,0.34,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2577,60.933.603/0001-78,CESP - CIA ENERGETICA DE SAO PAULO,---,---,CESP
CGAS3,COMGAS ON,BRCGASACNOR0,AÇÃO,79.79,0.00,0.00,UTILIDADE PÚBLICA,GÁS,GÁS,15636,61.856.571/0001-17,CIA GAS DE SAO PAULO - COMGAS,---,---,CGAS
CGAS5,COMGAS PNA,BRCGASACNPA3,AÇÃO,82.18,-0.27,-0.33,UTILIDADE PÚBLICA,GÁS,GÁS,15636,61.856.571/0001-17,CIA GAS DE SAO PAULO - COMGAS,---,---,CGAS
CGRA3,GRAZZIOTIN ON,BRCGRAACNOR2,AÇÃO,23.94,0.04,0.17,CONSUMO CÍCLICO,COMÉRCIO,TECIDOS. VESTUÁRIO E CALÇADOS,4537,92.012.467/0001-70,GRAZZIOTIN S.A.,---,---,CGRA
CGRA4,GRAZZIOTIN PN,BRCGRAACNPR9,AÇÃO,23.89,-0.01,-0.04,CONSUMO CÍCLICO,COMÉRCIO,TECIDOS. VESTUÁRIO E CALÇADOS,4537,92.012.467/0001-70,GRAZZIOTIN S.A.,---,---,CGRA
CIEL3,CIELO ON,BRCIELACNOR3,AÇÃO,8.01,-0.24,-2.91,FINANCEIRO,SERVIÇOS FINANCEIROS DIVERSOS,SERVIÇOS FINANCEIROS DIVERSOS,21733,01.027.058/0001-91,CIELO S.A.,---,---,CIEL
CLSC3,CELESC ON,BRCLSCACNOR6,AÇÃO,57.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2461,83.878.892/0001-55,CENTRAIS ELET DE SANTA CATARINA S.A.,---,---,CLSC
CLSC4,CELESC PN,BRCLSCACNPR3,AÇÃO,51.46,1.46,2.92,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2461,83.878.892/0001-55,CENTRAIS ELET DE SANTA CATARINA S.A.,---,---,CLSC
CMIG3,CEMIG ON,BRCMIGACNOR6,AÇÃO,16.08,-0.32,-1.95,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2453,17.155.730/0001-64,CIA ENERGETICA DE MINAS GERAIS - CEMIG,---,---,CMIG
CMIG4,CEMIG PN,BRCMIGACNPR3,AÇÃO,13.88,-0.21,-1.49,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2453,17.155.730/0001-64,CIA ENERGETICA DE MINAS GERAIS - CEMIG,---,---,CMIG
COCE3,COELCE ON,BRCOCEACNOR0,AÇÃO,46.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14869,07.047.251/0001-70,CIA ENERGETICA DO CEARA - COELCE,---,---,COCE
COCE5,COELCE PNA,BRCOCEACNPA3,AÇÃO,53.24,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14869,07.047.251/0001-70,CIA ENERGETICA DO CEARA - COELCE,---,---,COCE
CORR4,COR RIBEIRO PN,BRCORRACNPR7,AÇÃO,70.00,0.00,0.00,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,4863,15.101.405/0001-93,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,---,---,CORR
CPFE3,CPFL ENERGIA ON,BRCPFEACNOR0,AÇÃO,28.46,-0.19,-0.66,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18660,02.429.144/0001-93,CPFL ENERGIA S.A.,---,---,CPFE
CPLE3,COPEL ON,BRCPLEACNOR8,AÇÃO,32.69,0.19,0.58,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14311,76.483.817/0001-20,CIA PARANAENSE DE ENERGIA - COPEL,---,---,CPLE
CPLE6,COPEL PNB,BRCPLEACNPB9,AÇÃO,38.30,0.50,1.32,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14311,76.483.817/0001-20,CIA PARANAENSE DE ENERGIA - COPEL,---,---,CPLE
CPRE3,CPFL RENOVAV ON,BRCPREACNOR5,AÇÃO,13.84,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,20540,08.439.659/0001-50,CPFL ENERGIAS RENOVÁVEIS S.A.,---,---,CPRE
CRDE3,CR2 ON,BRCRDEACNOR1,AÇÃO,19.75,0.00,0.00,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,20630,07.820.907/0001-46,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,---,---,CRDE
CRFB3,CARREFOUR BR ON,BRCRFBACNOR2,AÇÃO,20.60,0.40,1.98,CONSUMO NÃO CÍCLICO,COMÉRCIO E DISTRIBUIÇÃO,ALIMENTOS,24171,75.315.333/0001-09,ATACADÃO S.A.,---,---,CRFB
CRIV3,ALFA FINANC ON,BRCRIVACNOR4,AÇÃO,5.52,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,SOC. CRÉDITO E FINANCIAMENTO,3891,17.167.412/0001-13,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,---,---,CRIV
CRIV4,ALFA FINANC PN,BRCRIVACNPR1,AÇÃO,5.91,0.00,0.00,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,SOC. CRÉDITO E FINANCIAMENTO,3891,17.167.412/0001-13,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,---,---,CRIV
CRPG3,CRISTAL ON,BRCRPGACNOR0,AÇÃO,33.30,0.00,0.00,MATERIAIS BÁSICOS,QUÍMICOS,QUÍMICOS DIVERSOS,11398,15.115.504/0001-24,CRISTAL PIGMENTOS DO BRASIL S.A.,---,---,CRPG
CRPG5,CRISTAL PNA,BRCRPGACNPA3,AÇÃO,31.40,0.60,1.95,MATERIAIS BÁSICOS,QUÍMICOS,QUÍMICOS DIVERSOS,11398,15.115.504/0001-24,CRISTAL PIGMENTOS DO BRASIL S.A.,---,---,CRPG
CRPG6,CRISTAL PNB,BRCRPGACNPB1,AÇÃO,30.53,0.03,0.10,MATERIAIS BÁSICOS,QUÍMICOS,QUÍMICOS DIVERSOS,11398,15.115.504/0001-24,CRISTAL PIGMENTOS DO BRASIL S.A.,---,---,CRPG
CSAB3,SEG AL BAHIA ON,BRCSABACNOR1,AÇÃO,48.50,1.81,3.88,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,3115,15.144.017/0001-90,CIA SEGUROS ALIANCA DA BAHIA,---,---,CSAB
CSAB4,SEG AL BAHIA PN,BRCSABACNPR8,AÇÃO,43.49,0.00,0.00,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,3115,15.144.017/0001-90,CIA SEGUROS ALIANCA DA BAHIA,---,---,CSAB
CSAN3,COSAN ON,BRCSANACNOR6,AÇÃO,45.90,-0.50,-1.08,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO,19836,50.746.577/0001-15,COSAN S.A.,---,---,CSAN
CSMG3,COPASA ON,BRCSMGACNOR5,AÇÃO,61.99,-0.51,-0.82,UTILIDADE PÚBLICA,ÁGUA E SANEAMENTO,ÁGUA E SANEAMENTO,19445,17.281.106/0001-03,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,---,---,CSMG
CSNA3,SID NACIONAL ON,BRCSNAACNOR6,AÇÃO,14.94,-0.33,-2.16,MATERIAIS BÁSICOS,SIDERURGIA E METALURGIA,SIDERURGIA,4030,33.042.730/0001-04,CIA SIDERURGICA NACIONAL,---,---,CSNA
CSRN3,COSERN ON,BRCSRNACNOR0,AÇÃO,15.51,-1.00,-6.06,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18139,08.324.196/0001-81,CIA ENERGETICA DO RIO GDE NORTE - COSERN,---,---,CSRN
CSRN5,COSERN PNA,BRCSRNACNPA3,AÇÃO,16.07,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18139,08.324.196/0001-81,CIA ENERGETICA DO RIO GDE NORTE - COSERN,---,---,CSRN
CTKA3,KARSTEN ON,BRCTKAACNOR0,AÇÃO,5.00,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,4146,82.640.558/0001-04,KARSTEN S.A.,---,---,CTKA
CTKA4,KARSTEN PN,BRCTKAACNPR7,AÇÃO,3.11,-0.19,-5.76,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,4146,82.640.558/0001-04,KARSTEN S.A.,---,---,CTKA
CTNM3,COTEMINAS ON,BRCTNMACNOR9,AÇÃO,11.79,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,3158,22.677.520/0001-76,CIA TECIDOS NORTE DE MINAS COTEMINAS,---,---,CTNM
CTNM4,COTEMINAS PN,BRCTNMACNPR6,AÇÃO,11.50,-0.20,-1.71,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,3158,22.677.520/0001-76,CIA TECIDOS NORTE DE MINAS COTEMINAS,---,---,CTNM
CTSA3,SANTANENSE ON,BRCTSAACNOR3,AÇÃO,5.30,0.05,0.95,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,4081,21.255.567/0001-89,CIA TECIDOS SANTANENSE,---,---,CTSA
CTSA4,SANTANENSE PN,BRCTSAACNPR0,AÇÃO,6.40,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,4081,21.255.567/0001-89,CIA TECIDOS SANTANENSE,---,---,CTSA
CVCB3,CVC BRASIL ON,BRCVCBACNOR1,AÇÃO,53.31,0.99,1.89,CONSUMO CÍCLICO,VIAGENS E LAZER,VIAGENS E TURISMO,23310,10.760.260/0001-19,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,---,---,CVCB
CYRE3,CYRELA REALT ON,BRCYREACNOR7,AÇÃO,15.92,0.01,0.06,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,14460,73.178.600/0001-18,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,---,---,CYRE
DASA3,DASA ON,BRDASAACNOR1,AÇÃO,28.80,0.00,0.00,SAÚDE,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,19623,61.486.650/0001-83,DIAGNOSTICOS DA AMERICA S.A.,---,---,DASA
DIRR3,DIRECIONAL ON,BRDIRRACNOR0,AÇÃO,8.28,0.03,0.36,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,21350,16.614.075/0001-00,DIRECIONAL ENGENHARIA S.A.,---,---,DIRR
DMMO3,DOMMO ON,BRDMMOACNOR0,AÇÃO,0.62,-0.02,-3.12,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS,EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO,23493,08.926.302/0001-05,DOMMO ENERGIA S.A.,---,---,DMMO
DOHL3,DOHLER ON,BRDOHLACNOR2,AÇÃO,8.20,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,5207,84.683.408/0001-03,DOHLER S.A.,---,---,DOHL
DOHL4,DOHLER PN,BRDOHLACNPR9,AÇÃO,7.72,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,5207,84.683.408/0001-03,DOHLER S.A.,---,---,DOHL
DTCY3,DTCOM-DIRECT ON,BRDTCYACNOR5,AÇÃO,2.98,-0.04,-1.32,BENS INDUSTRIAIS,SERVIÇOS,SERVIÇOS DIVERSOS,18597,03.303.999/0001-36,DTCOM - DIRECT TO COMPANY S.A.,---,---,DTCY
DTEX3,DURATEX ON,BRDTEXACNOR3,AÇÃO,9.89,-0.01,-0.10,MATERIAIS BÁSICOS,MADEIRA E PAPEL,MADEIRA,21091,97.837.181/0001-47,DURATEX S.A.,---,---,DTEX
EALT3,ACO ALTONA ON,BREALTACNOR4,AÇÃO,6.67,0.00,0.00,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,5380,82.643.537/0001-34,ELECTRO ACO ALTONA S.A.,---,---,EALT
EALT4,ACO ALTONA PN,BREALTACNPR1,AÇÃO,4.84,0.00,0.00,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,5380,82.643.537/0001-34,ELECTRO ACO ALTONA S.A.,---,---,EALT
ECOR3,ECORODOVIAS ON,BRECORACNOR8,AÇÃO,8.58,-0.22,-2.50,BENS INDUSTRIAIS,TRANSPORTE,EXPLORAÇÃO DE RODOVIAS,19453,04.149.454/0001-80,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,---,---,ECOR
ECPR3,ENCORPAR ON,BRECPRACNOR5,AÇÃO,89.90,0.00,0.00,CONSUMO CÍCLICO,TECIDOS. VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,16497,01.971.614/0001-83,EMPRESA NAC COM REDITO PART S.A.ENCORPAR,---,---,ECPR
EEEL3,CEEE-GT ON,BREEELACNOR8,AÇÃO,235.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,3204,92.715.812/0001-31,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,---,---,EEEL
EEEL4,CEEE-GT PN,BREEELACNPR5,AÇÃO,250.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,3204,92.715.812/0001-31,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,---,---,EEEL
EGIE3,ENGIE BRASIL ON,BREGIEACNOR9,AÇÃO,42.65,0.28,0.66,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,17329,02.474.103/0001-19,ENGIE BRASIL ENERGIA S.A.,---,---,EGIE
EKTR3,ELEKTRO ON,BREKTRACNOR0,AÇÃO,18.20,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,17485,02.328.280/0001-97,ELEKTRO REDES S.A.,---,---,EKTR
EKTR4,ELEKTRO PN,BREKTRACNPR7,AÇÃO,18.64,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,17485,02.328.280/0001-97,ELEKTRO REDES S.A.,---,---,EKTR
ELEK3,ELEKEIROZ ON,BRELEKACNOR5,AÇÃO,11.03,0.00,0.00,MATERIAIS BÁSICOS,QUÍMICOS,PETROQUÍMICOS,4359,13.788.120/0001-47,ELEKEIROZ S.A.,---,---,ELEK
ELEK4,ELEKEIROZ PN,BRELEKACNPR2,AÇÃO,11.52,0.00,0.00,MATERIAIS BÁSICOS,QUÍMICOS,PETROQUÍMICOS,4359,13.788.120/0001-47,ELEKEIROZ S.A.,---,---,ELEK
ELET3,ELETROBRAS ON,BRELETACNOR6,AÇÃO,32.37,0.02,0.06,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2437,00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,---,---,ELET
ELET5,ELETROBRAS PNA,BRELETACNPA9,AÇÃO,48.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2437,00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,---,---,ELET
ELET6,ELETROBRAS PNB,BRELETACNPB7,AÇÃO,34.35,-0.12,-0.35,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,2437,00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,---,---,ELET
ELPL3,ELETROPAULO ON,BRELPLACNOR9,AÇÃO,34.00,-0.10,-0.29,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14176,61.695.227/0001-93,ELETROPAULO METROP. ELET. SAO PAULO S.A.,---,---,ELPL
EMAE4,EMAE PN,BREMAEACNPR1,AÇÃO,23.00,-0.30,-1.29,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,16993,02.302.101/0001-42,EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.,---,---,EMAE
EMBR3,EMBRAER ON,BREMBRACNOR4,AÇÃO,19.25,-0.07,-0.36,BENS INDUSTRIAIS,MATERIAL DE TRANSPORTE,MATERIAL AERONÁUTICO E DE DEFESA,20087,07.689.002/0001-89,EMBRAER S.A.,---,---,EMBR
ENBR3,ENERGIAS BR ON,BRENBRACNOR2,AÇÃO,16.89,-0.14,-0.82,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,19763,03.983.431/0001-03,EDP - ENERGIAS DO BRASIL S.A.,---,---,ENBR
ENEV3,ENEVA ON,BRENEVACNOR8,AÇÃO,19.67,0.17,0.87,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,21237,04.423.567/0001-21,ENEVA S.A,---,---,ENEV
ENGI11,ENERGISA UNT,BRENGICDAM16,AÇÃO,39.95,0.22,0.55,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,15253,00.864.214/0001-06,ENERGISA S.A.,---,---,ENGI
ENGI3,ENERGISA ON,BRENGIACNOR0,AÇÃO,12.97,-0.01,-0.08,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,15253,00.864.214/0001-06,ENERGISA S.A.,---,---,ENGI
ENGI4,ENERGISA PN,BRENGIACNPR7,AÇÃO,6.72,0.03,0.45,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,15253,00.864.214/0001-06,ENERGISA S.A.,---,---,ENGI
ENMA3B,CEMAR ON,BRENMAACNOR5,AÇÃO,34.10,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,16608,06.272.793/0001-84,CIA ENERGETICA DO MARANHAO - CEMAR,---,---,ENMA
ENMT3,ENERGISA MT ON,BRENMTACNOR5,AÇÃO,23.50,0.25,1.08,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14605,03.467.321/0001-99,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,---,---,ENMT
ENMT4,ENERGISA MT PN,BRENMTACNPR2,AÇÃO,24.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,14605,03.467.321/0001-99,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,---,---,ENMT
EQTL3,EQUATORIAL ON,BREQTLACNOR0,AÇÃO,79.20,-0.70,-0.88,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,20010,03.220.438/0001-73,EQUATORIAL ENERGIA S.A.,---,---,EQTL
ESTC3,ESTACIO PART ON,BRESTCACNOR5,AÇÃO,27.34,-0.61,-2.18,CONSUMO CÍCLICO,DIVERSOS,SERVIÇOS EDUCACIONAIS,21016,08.807.432/0001-10,ESTACIO PARTICIPACOES S.A.,---,---,ESTC
ESTR3,ESTRELA ON,BRESTRACNOR3,AÇÃO,20.00,0.00,0.00,CONSUMO CÍCLICO,VIAGENS E LAZER,BRINQUEDOS E JOGOS,8427,61.082.004/0001-50,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,---,---,ESTR
ESTR4,ESTRELA PN,BRESTRACNPR0,AÇÃO,15.00,0.00,0.00,CONSUMO CÍCLICO,VIAGENS E LAZER,BRINQUEDOS E JOGOS,8427,61.082.004/0001-50,MANUFATURA DE BRINQUEDOS ESTRELA S.A.,---,---,ESTR
ETER3,ETERNIT ON,BRETERACNOR3,AÇÃO,1.97,-0.01,-0.51,BENS INDUSTRIAIS,CONSTRUÇÃO E ENGENHARIA,PRODUTOS PARA CONSTRUÇÃO,5762,61.092.037/0001-81,ETERNIT S.A.,---,---,ETER
EUCA3,EUCATEX ON,BREUCAACNOR1,AÇÃO,8.20,0.00,0.00,MATERIAIS BÁSICOS,MADEIRA E PAPEL,MADEIRA,5770,56.643.018/0001-66,EUCATEX S.A. INDUSTRIA E COMERCIO,---,---,EUCA
EUCA4,EUCATEX PN,BREUCAACNPR8,AÇÃO,4.31,-0.04,-0.92,MATERIAIS BÁSICOS,MADEIRA E PAPEL,MADEIRA,5770,56.643.018/0001-66,EUCATEX S.A. INDUSTRIA E COMERCIO,---,---,EUCA
EVEN3,EVEN ON,BREVENACNOR8,AÇÃO,5.93,-0.02,-0.34,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,20524,43.470.988/0001-65,EVEN CONSTRUTORA E INCORPORADORA S.A.,---,---,EVEN
EZTC3,EZTEC ON,BREZTCACNOR0,AÇÃO,25.38,-0.12,-0.47,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,20770,08.312.229/0001-73,EZ TEC EMPREEND. E PARTICIPACOES S.A.,---,---,EZTC
FESA3,FERBASA ON,BRFESAACNOR8,AÇÃO,27.90,0.00,0.00,MATERIAIS BÁSICOS,SIDERURGIA E METALURGIA,SIDERURGIA,3069,15.141.799/0001-03,CIA FERRO LIGAS DA BAHIA - FERBASA,---,---,FESA
FESA4,FERBASA PN,BRFESAACNPR5,AÇÃO,20.06,-0.25,-1.23,MATERIAIS BÁSICOS,SIDERURGIA E METALURGIA,SIDERURGIA,3069,15.141.799/0001-03,CIA FERRO LIGAS DA BAHIA - FERBASA,---,---,FESA
FHER3,FER HERINGER ON,BRFHERACNOR5,AÇÃO,2.01,-0.03,-1.47,MATERIAIS BÁSICOS,QUÍMICOS,FERTILIZANTES E DEFENSIVOS,20621,22.266.175/0001-88,FERTILIZANTES HERINGER S.A.,---,---,FHER
FHER3,FER HERINGER ON,BRFHERACNOR5,AÇÃO,2.01,-0.03,-1.47,MATERIAIS BÁSICOS,QUÍMICOS,FERTILIZANTES E DEFENSIVOS,20621,22.266.175/0001-88,FERTILIZANTES HERINGER S.A.,---,---,FHER
FJTA3,FORJA TAURUS ON,BRFJTAACNOR5,AÇÃO,3.64,0.04,1.11,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,ARMAS E MUNIÇÕES,6173,92.781.335/0001-02,TAURUS ARMAS S.A.,---,---,FJTA
FJTA4,FORJA TAURUS PN,BRFJTAACNPR2,AÇÃO,3.29,0.01,0.30,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,ARMAS E MUNIÇÕES,6173,92.781.335/0001-02,TAURUS ARMAS S.A.,---,---,FJTA
FLRY3,FLEURY ON,BRFLRYACNOR5,AÇÃO,21.55,-0.11,-0.51,SAÚDE,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,SERV.MÉD.HOSPIT..ANÁLISES E DIAGNÓSTICOS,21881,60.840.055/0001-31,FLEURY S.A.,---,---,FLRY
FRAS3,FRAS-LE ON,BRFRASACNOR0,AÇÃO,4.97,-0.03,-0.60,BENS INDUSTRIAIS,MATERIAL DE TRANSPORTE,MATERIAL RODOVIÁRIO,6211,88.610.126/0001-29,FRAS-LE S.A.,---,---,FRAS
FRIO3,METALFRIO ON,BRFRIOACNOR2,AÇÃO,48.00,0.00,0.00,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,20613,04.821.041/0001-08,METALFRIO SOLUTIONS S.A.,---,---,FRIO
FRTA3,POMIFRUTAS ON,BRFRTAACNOR8,AÇÃO,0.90,-0.02,-2.17,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,19658,86.550.951/0001-50,POMIFRUTAS S/A,---,---,FRTA
GEPA3,GER PARANAP ON,BRGEPAACNOR2,AÇÃO,40.00,0.00,0.00,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18368,02.998.301/0001-81,RIO PARANAPANEMA ENERGIA S.A.,---,---,GEPA
GEPA4,GER PARANAP PN,BRGEPAACNPR9,AÇÃO,40.00,0.10,0.25,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,18368,02.998.301/0001-81,RIO PARANAPANEMA ENERGIA S.A.,---,---,GEPA
GFSA3,GAFISA ON,BRGFSAACNOR3,AÇÃO,9.00,-0.40,-4.26,CONSUMO CÍCLICO,CONSTRUÇÃO CIVIL,INCORPORAÇÕES,16101,01.545.826/0001-07,GAFISA S.A.,---,---,GFSA
GGBR3,GERDAU ON,BRGGBRACNOR1,AÇÃO,11.86,-0.22,-1.82,MATERIAIS BÁSICOS,SIDERURGIA E METALURGIA,SIDERURGIA,3980,33.611.500/0001-19,GERDAU S.A.,---,---,GGBR
